Item_code;Товар;Компонент;Субкомпонент;Weight
427;Обучение в негосударственных образовательных организациях высшего профессионального образования, семестр;Услуги;Услуги в системе образования;0.00191
429;Обучение в образовательных организациях среднего профессионального образования, семестр;Услуги;Услуги в системе образования;0.0022
430;Общий анализ крови, анализ;Услуги;Медицинские услуги;0.00092
432;Овощи замороженные, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00068
433;Овощи натуральные консервированные, маринованные, кг;Продовольственные товары;Другие продовольственные товары;0.0028
434;"Овсяные хлопья ""Геркулес"", кг";Продовольственные товары;Макаронные и крупяные изделия;0.00132
435;Огурцы свежие, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00468
442;Одеяло стеганое, шт.;Непродовольственные товары;Одежда и белье;0.00247
443;Окорочка куриные, кг;Продовольственные товары;Мясопродукты;0.00549
447;Орехи, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.0019
448;Отопление, Гкал;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.00924
449;Оформление доверенности в нотариальной конторе, услуга;Услуги;Другие услуги;0.00012
451;Пальто (полупальто) женское с верхом из плащевых тканей, шт.;Непродовольственные товары;Одежда и белье;0.00177
452;Пальто женское демисезонное из шерстяных или полушерстяных тканей, шт.;Непродовольственные товары;Одежда и белье;0.00203
453;Пальто женское зимнее из шерстяных или полушерстяных тканей, шт.;Непродовольственные товары;Одежда и белье;0.00095
454;Пальто женское меховое и дубленка, шт.;Непродовольственные товары;Меха и меховые изделия;0.00102
455;Панкреатин, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00038
456;Панталоны, трусы женские, шт.;Непродовольственные товары;Трикотажные изделия;0.00127
457;Паста зубная, 100 г (100 мл);Непродовольственные товары;Парфюмерно-косметические товары;0.00191
458;Пеленки для новорожденных, шт.;Непродовольственные товары;Одежда и белье;0.00019
459;Пельмени, манты, равиоли, кг;Продовольственные товары;Мясопродукты;0.00524
460;Первичный консультативный осмотр больного у стоматолога, посещение;Услуги;Медицинские услуги;0.00106
461;Первичный консультативный прием у врача специалиста, посещение;Услуги;Медицинские услуги;0.00207
464;Пересылка простого письма внутри России, массой до 20 г, шт.;Услуги;Другие услуги;1e-05
466;Перчатки из натуральной кожи, пара;Непродовольственные товары;Галантерея;0.00011
467;Перчатки трикотажные женские, пара;Непродовольственные товары;Трикотажные изделия;6e-05
468;Печать цветных фотографий, шт.;Услуги;Бытовые услуги;0.00011
469;Печень говяжья, свиная, кг;Продовольственные товары;Мясопродукты;0.00275
470;Печенье, кг;Продовольственные товары;Кондитерские изделия;0.00549
471;Печь микроволновая, шт.;Непродовольственные товары;Электротовары и другие бытовые приборы;0.00067
475;Пиджак, жакет женский из шерстяных, полушерстяных или смесовых тканей, шт.;Непродовольственные товары;Одежда и белье;0.00359
478;Плата за пересылку простой посылки внутри России массой 1-2 кг, шт.;Услуги;Другие услуги;0.00013
479;Плата за пользование потребительским кредитом (процентная ставка в стоимостном выражении), руб.;Услуги;Другие услуги;0.00656
480;Платье (платье-костюм) женское из полушерстяных или смесовых тканей, шт.;Непродовольственные товары;Одежда и белье;0.00401
481;Платье (платье-костюм) женское из хлопчатобумажных или смесовых тканей, шт.;Непродовольственные товары;Одежда и белье;0.00396
482;Платье (платье-костюм, сарафан) для девочек школьного возраста из полушерстяных, смесовых  тканей, шт.;Непродовольственные товары;Одежда и белье;0.00051
483;Платье (сарафан) летнее для девочек дошкольного возраста, шт.;Непродовольственные товары;Одежда и белье;0.00029
484;Плита бытовая, шт.;Непродовольственные товары;Электротовары и другие бытовые приборы;0.00148
485;Плитка керамическая, облицовочная для внутренних работ, м2;Непродовольственные товары;Строительные материалы;0.0019
486;Плиты древесностружечные, ориентированно-стружечные, м2;Непродовольственные товары;Строительные материалы;0.0008899999999999
487;Повторное получение гербового документа в органах ЗАГС, документ;Услуги;Другие услуги;0.00057
488;Подгузники детские бумажные (памперсы), 10 шт.;Непродовольственные товары;Другие непродовольственные товары;0.00114
489;Подушка, шт.;Непродовольственные товары;Одежда и белье;0.00248
496;Ползунки из хлопчатобумажного трикотажного полотна, шт.;Непродовольственные товары;Одежда и белье;0.00019
500;Полотенце кухонное, шт.;Непродовольственные товары;Другие непродовольственные товары;0.0012
501;Полотенце личное, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00239
502;Полуботинки мужские с верхом из искусственной кожи, пара;Непродовольственные товары;Обувь кожаная, текстильная и комбинированная;0.00083
503;Полуботинки, туфли мужские с верхом из натуральной кожи, пара;Непродовольственные товары;Обувь кожаная, текстильная и комбинированная;0.00277
505;Пользование общественным туалетом, посещение;Услуги;Другие услуги;0.00047
506;Помидоры свежие, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00574
507;Помывка в бане в общем отделении, билет;Услуги;Бытовые услуги;0.00103
508;Порошок стиральный, кг;Непродовольственные товары;Моющие и чистящие средства;0.00342
509;Посещение детского ясли-сада, день;Услуги;Услуги в системе образования;0.00038
511;Постановка набоек, пара;Услуги;Бытовые услуги;0.00055
513;Пребывание пациента в круглосуточном стационаре, койко-день;Услуги;Медицинские услуги;0.00042
514;Предоставление абоненту в постоянное пользование абонентской линии независимо от ее типа, месяц;Услуги;Услуги телекоммуникационные;0.00024
518;Предоставление местного телефонного соединения при повременной системе оплаты услуг связи, минута;Услуги;Услуги телекоммуникационные;0.00024
519;Прививка животного, шт.;Услуги;Другие услуги;0.00019
524;"Продукция предприятий общественного питания быстрого обслуживания (сэндвич типа ""Гамбургер""), шт.";Продовольственные товары;Общественное питание;0.00269
525;Проезд в городском автобусе,поездка;Услуги;Услуги пассажирского транспорта;0.00185
527;Проезд в маршрутном такси, поездка;Услуги;Услуги пассажирского транспорта;0.00869
528;Проезд в междугородном автобусе, в расчете на 50 км пути;Услуги;Услуги пассажирского транспорта;0.00057
531;Проезд в такси, в расчете на 1 км пути;Услуги;Услуги пассажирского транспорта;0.00415
533;Проезд в троллейбусе, поездка;Услуги;Услуги пассажирского транспорта;0.0001
535;Проживание в студенческом общежитии, месяц;Услуги;Другие услуги;2e-05
538;Пряники, кг;Продовольственные товары;Кондитерские изделия;0.0019
539;Пшено, кг;Продовольственные товары;Макаронные и крупяные изделия;0.00118
540;Ранец, рюкзак для школьников, шт.;Непродовольственные товары;Галантерея;0.00108
541;Регулировка развала-схождения колес легкового автомобиля, один вид работы;Услуги;Бытовые услуги;0.00423
542;Ремень мужской, шт.;Непродовольственные товары;Галантерея;0.00059
543;Ремонт  телевизоров, один вид работы;Услуги;Бытовые услуги;0.00037
544;Ремонт брюк из всех видов тканей, один вид работы;Услуги;Бытовые услуги;0.00018
548;Ремонт холодильников всех марок, один вид работы;Услуги;Бытовые услуги;0.00042
552;Рис шлифованный, кг;Продовольственные товары;Макаронные и крупяные изделия;0.00479
554;Рубероид, 10 м;Непродовольственные товары;Строительные материалы;0.00011
555;Рыба живая и охлажденная, кг;Продовольственные товары;Рыбопродукты;0.00395
558;Рыба мороженая неразделанная, кг;Продовольственные товары;Рыбопродукты;0.00303
559;Рыба мороженая разделанная (кроме лососевых пород), кг;Продовольственные товары;Рыбопродукты;0.005
560;Рыба охлажденная и мороженая разделанная лососевых пород, кг;Продовольственные товары;Рыбопродукты;0.00181
561;Рыба соленая, маринованная, копченая, кг;Продовольственные товары;Рыбопродукты;0.00142
563;Рюмка, фужер из простого стекла, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00054
565;Санаторий, день;Услуги;Санаторно-оздоровительные услуги;0.001
566;Сапоги женские зимние с верхом из натуральной кожи, пара;Непродовольственные товары;Обувь кожаная, текстильная и комбинированная;0.00253
567;Сапоги женские осенние с верхом из натуральной кожи, пара;Непродовольственные товары;Обувь кожаная, текстильная и комбинированная;0.00145
568;Сапоги цельнорезиновые для взрослых, пара;Непродовольственные товары;Другие непродовольственные товары;0.00042
569;Сапоги цельнорезиновые для детей, пара;Непродовольственные товары;Другие непродовольственные товары;0.00011
