item_code,item_name,item_weight,source_component,source_subcomponent,subcomponent_code,external_var,mapping_source
591,"Соки фруктовые, л",0.00232,Продовольственные товары,Другие продовольственные товары,53,p_proch,micro_sprav_subcomponent_exact
304,"Костюм-двойка мужской из шерстяных, полушерстяных или смесовых  тканей, шт.",0.00255,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
169,"Вода минеральная и питьевая, л",0.00242,Продовольственные товары,Другие продовольственные товары,53,p_proch,micro_sprav_subcomponent_exact
349,"Лук репчатый, кг",0.00236,Продовольственные товары,"Плодоовощная продукция, включая картофель",33,p_ovosh,micro_sprav_subcomponent_exact
697,"Филе рыбное, кг",0.00204,Продовольственные товары,Рыбопродукты,34,p_fish,micro_sprav_subcomponent_exact
332,"Куртка мужская с верхом из плащевых тканей утепленная, шт.",0.00192,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
975,"Дезинфицирующее средство для поверхностей, л",0.00218,Непродовольственные товары,Моющие и чистящие средства,25,n_mou_sr,micro_sprav_subcomponent_exact
538,"Пряники, кг",0.0019,Продовольственные товары,Кондитерские изделия,16,p_sweet,micro_sprav_subcomponent_exact
751,"Юбка женская из полушерстяных или смесовых тканей, шт.",0.00203,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
461,"Первичный консультативный прием у врача специалиста, посещение",0.00207,Услуги,,22,u_med,service_name_rule
980,"Матрас для взрослых, шт.",0.00306,Непродовольственные товары,Мебель,20,n_mebel,micro_sprav_subcomponent_exact
382,"Морковь, кг",0.0021,Продовольственные товары,"Плодоовощная продукция, включая картофель",33,p_ovosh,micro_sprav_subcomponent_exact
330,"Куртка мужская без утеплителя (ветровка), шт.",0.00269,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
741,"Электропылесос напольный, шт.",0.00185,Непродовольственные товары,Электротовары и другие бытовые приборы,51,n_electro,micro_sprav_subcomponent_exact
145,"Брюки мужские из полушерстяных или смесовых тканей, шт.",0.00183,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
447,"Орехи, кг",0.0019,Продовольственные товары,"Плодоовощная продукция, включая картофель",33,p_ovosh,micro_sprav_subcomponent_exact
966,"Годовая стоимость полиса обязательного страхования гражданской ответственности владельцев транспортных средств (ОСАГО), полис",0.0013,Услуги,,47,u_transp,service_name_rule
429,"Обучение в образовательных организациях среднего профессионального образования, семестр",0.0022,Услуги,,44,u_obr,service_name_rule
575,"Светильник потолочный, шт.",0.00208,Непродовольственные товары,Электротовары и другие бытовые приборы,51,n_electro,micro_sprav_subcomponent_exact
726,"Шампунь, 250 мл",0.0019,Непродовольственные товары,Парфюмерно-косметические товары,30,n_parf,micro_sprav_subcomponent_exact
457,"Паста зубная, 100 г (100 мл)",0.00191,Непродовольственные товары,Парфюмерно-косметические товары,30,n_parf,micro_sprav_subcomponent_exact
690,"Установка пластиковых окон, м2",0.0018,Услуги,,12,u_bit,service_name_rule
1050,"Туфли женские закрытые, пара",0.00196,Непродовольственные товары,"Обувь кожаная, текстильная и комбинированная",27,n_obuv,micro_sprav_subcomponent_exact
272,"Колготки женские эластичные, шт.",0.00127,Непродовольственные товары,Другие непродовольственные товары,54,n_proch,micro_sprav_subcomponent_exact
212,"Дополнительные занятия для детей дошкольного возраста, академический час",0.00189,Услуги,,44,u_obr,service_name_rule
716,"Чай черный байховый пакетированный, 25 пакетиков",0.00197,Продовольственные товары,"Чай, кофе, какао",50,p_tea,micro_sprav_subcomponent_exact
985,"Наушники беспроводные, шт.",0.00189,Непродовольственные товары,Средства связи,37,n_sr_sv,micro_sprav_subcomponent_exact
282,"Компьютер персональный переносной (ноутбук), шт.",0.00185,Непродовольственные товары,Персональные компьютеры,31,n_comp,micro_sprav_subcomponent_exact
451,"Пальто (полупальто) женское с верхом из плащевых тканей, шт.",0.00177,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
373,"Миксер, блендер, шт.",0.00176,Непродовольственные товары,Электротовары и другие бытовые приборы,51,n_electro,micro_sprav_subcomponent_exact
208,"Диван-кровать, шт.",0.00253,Непродовольственные товары,Мебель,20,n_mebel,micro_sprav_subcomponent_exact
198,"Годовая стоимость полиса добровольного страхования легкового автомобиля от стандартных рисков (КАСКО), полис",0.00223,Услуги,,55,u_proch,service_residual_rule
427,"Обучение в негосударственных образовательных организациях высшего профессионального образования, семестр",0.00191,Услуги,,44,u_obr,service_name_rule
334,"Ламинат, м2",0.00167,Непродовольственные товары,Строительные материалы,38,n_str,micro_sprav_subcomponent_exact
420,"Обувь домашняя с текстильным верхом для взрослых, пара",0.00161,Непродовольственные товары,"Обувь кожаная, текстильная и комбинированная",27,n_obuv,micro_sprav_subcomponent_exact
660,"Тушь для ресниц, шт.",0.00179,Непродовольственные товары,Парфюмерно-косметические товары,30,n_parf,micro_sprav_subcomponent_exact
149,"Бюстгальтер, шт.",0.00143,Непродовольственные товары,Галантерея,13,n_galant,micro_sprav_subcomponent_exact
351,"Майка, футболка мужская бельевая, шт.",0.00151,Непродовольственные товары,Трикотажные изделия,43,n_tric,micro_sprav_subcomponent_exact
363,"Машина стиральная автоматическая, шт.",0.0019,Непродовольственные товары,Электротовары и другие бытовые приборы,51,n_electro,micro_sprav_subcomponent_exact
412,"Обед в ресторане, на 1 человека",0.00201,Продовольственные товары,Общественное питание,28,p_ob_pit,micro_sprav_subcomponent_exact
452,"Пальто женское демисезонное из шерстяных или полушерстяных тканей, шт.",0.00203,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
525,"Проезд в городском автобусе,поездка",0.00185,Услуги,,47,u_transp,service_name_rule
972,"Грибы свежие, кг",0.00119,Продовольственные товары,"Плодоовощная продукция, включая картофель",33,p_ovosh,micro_sprav_subcomponent_exact
143,"Брюки женские из полушерстяных или смесовых тканей, шт.",0.00204,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
165,"Вино виноградное столовое, л",0.00172,Продовольственные товары,Алкогольные напитки,11,p_alco,micro_sprav_subcomponent_exact
253,"Кастрюля из эмалированной или нержавеющей стали, шт.",0.00178,Непродовольственные товары,Другие непродовольственные товары,54,n_proch,micro_sprav_subcomponent_exact
305,"Костюм спортивный для взрослых, шт.",0.00175,Непродовольственные товары,Трикотажные изделия,43,n_tric,micro_sprav_subcomponent_exact
653,"Трусы мужские, шт.",0.00145,Непродовольственные товары,Трикотажные изделия,43,n_tric,micro_sprav_subcomponent_exact
146,"Булочные изделия сдобные из муки высшего сорта штучные, кг",0.00169,Продовольственные товары,Хлеб и хлебобулочные изделия,49,p_bread,micro_sprav_subcomponent_exact
319,"Кроссовые туфли для детей с верхом из искусственной кожи, пара",0.00156,Непродовольственные товары,"Обувь кожаная, текстильная и комбинированная",27,n_obuv,micro_sprav_subcomponent_exact
343,"Лимоны, кг",0.00185,Продовольственные товары,"Плодоовощная продукция, включая картофель",33,p_ovosh,micro_sprav_subcomponent_exact
390,"Мыло хозяйственное, 200 г",0.00174,Непродовольственные товары,Моющие и чистящие средства,25,n_mou_sr,micro_sprav_subcomponent_exact
561,"Рыба соленая, маринованная, копченая, кг",0.00142,Продовольственные товары,Рыбопродукты,34,p_fish,micro_sprav_subcomponent_exact
213,"Доска обрезная, м3",0.00153,Непродовольственные товары,Строительные материалы,38,n_str,micro_sprav_subcomponent_exact
620,"Сыры плавленые, кг",0.00187,Продовольственные товары,Сыр,39,p_cheese,micro_sprav_subcomponent_exact
203,"Горох и фасоль, кг",0.00191,Продовольственные товары,Макаронные и крупяные изделия,18,p_mak_kr,micro_sprav_subcomponent_exact
309,"Кофе в организациях быстрого обслуживания, 200 г",0.00148,Продовольственные товары,Общественное питание,28,p_ob_pit,micro_sprav_subcomponent_exact
