Feature,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Abs_Pearson,N_obs
ki_i_STD3,0.15615960666399428,0.09413800967911527,0.07926250274827397,0.3976811122094398,0.15615960666399428,116
reg_profit_L1,-0.1555279618961274,0.09404508004135542,-0.10192684237519363,0.2741651414191891,0.1555279618961274,117
reg_unknown20_L9,0.1553775863644661,0.1957103429613241,0.2143308145202756,0.07267790339787741,0.1553775863644661,71
nonprod_L3,-0.15370173344103985,0.10100059324510273,0.04632019849782979,0.6230259329886049,0.15370173344103985,115
ki,0.15273259508369758,0.09870968158200442,0.20037771627240716,0.029584916474408036,0.15273259508369758,118
ki_L0,0.15273259508369758,0.09870968158200442,0.20037771627240716,0.029584916474408036,0.15273259508369758,118
reg_wage_agri_L6,0.15224903192624575,0.10903764838463685,-0.037137420158839696,0.6974606965849189,0.15224903192624575,112
reg_housing_primary_MA12,0.14866414154207594,0.13014184423130176,0.22381374675030186,0.02172437145351248,0.14866414154207594,105
reg_ppi_L5,0.14853316286540919,0.1163927050981111,0.1785930432259139,0.0584101277168716,0.14853316286540919,113
usd_STD6,-0.1479626349655537,0.11781803307182061,-0.038586232300763454,0.6849131970739597,0.1479626349655537,113
Ruonia_L12,-0.1473916992624652,0.13161973452171136,-0.14194615691987525,0.14665249698205132,0.1473916992624652,106
reg_income_real_L6,0.1464479985140402,0.1268462958999621,0.023306633295881955,0.8090262098650881,0.1464479985140402,110
reg_unknown20_L8,0.1447041536220304,0.22522111051465196,0.16569404574875551,0.16422841360239548,0.1447041536220304,72
reg_retail_L4,0.14449592827707705,0.12506574535806406,0.2101656670742268,0.024809626713180797,0.14449592827707705,114
reg_unknown20_D3,0.1430556617127914,0.21454247839123636,0.022736249521928032,0.8443973799577887,0.1430556617127914,77
reg_income_nom_L6,0.1427686825169693,0.13677763350870994,0.05728941706576319,0.5521903393338823,0.1427686825169693,110
reg_wage_STD3,-0.14163865670139794,0.1293597826271045,-0.17943345406965092,0.05394212103181422,0.14163865670139794,116
reg_retail_MA12,0.13912672162891293,0.15294808770363721,0.2989506386547507,0.0017605682294362813,0.13912672162891293,107
reg_ind_prod_L3,0.13863021550755253,0.1395290067164574,-0.02833974558412881,0.7636811683458642,0.13863021550755253,115
reg_invest_prices_STD6,-0.13816531625964543,0.14445602252262726,-0.1654532496530344,0.07988936319596435,0.13816531625964543,113
reg_housing_primary_L9,0.13816213147499562,0.15584363579390517,0.22663553927735797,0.018903297514281554,0.13816213147499562,107
nonprod_MA3,0.1380977249485078,0.13931586882108868,0.22680138922917412,0.0143546101923187,0.1380977249485078,116
serv_L12,-0.13677671779160938,0.1620873936253341,-0.22903669590728473,0.018196199713592588,0.13677671779160938,106
nonprod_L2,-0.13661032491310848,0.14366753985648498,0.12029635886920405,0.19834648203915983,0.13661032491310848,116
reg_unknown20_L10,0.13311828265799866,0.27194623617115476,0.14316385392364098,0.23707495476781873,0.13311828265799866,70
reg_agri_prices_L9,0.13284403212757626,0.16849547043127996,0.16742397077310733,0.08183962997499789,0.13284403212757626,109
reg_shipped_MA12,0.13270330476596856,0.1730069251635112,0.2080413470731628,0.03153099371819606,0.13270330476596856,107
reg_unknown20_L3,0.13253582429221425,0.25053447059911377,0.1897064119883116,0.09843629754963701,0.13253582429221425,77
reg_housing_primary_L6,0.13225593790103052,0.16841185460510516,0.12271966084040135,0.20152274121490082,0.13225593790103052,110
brent_pct_L2,0.13160865236758668,0.15905665838317126,-0.00011741525704407405,0.9990019219131285,0.13160865236758668,116
reg_profit_D6,-0.13117294155255194,0.16801965512994146,-0.2647105954185883,0.0047948455864160085,0.13117294155255194,112
reg_services_L1,0.13082555698180728,0.18343891409601312,0.19909325194138972,0.0417393761765247,0.13082555698180728,105
Ruonia_L11,-0.12973747376205763,0.18289672290745682,-0.13464722578282384,0.1667421041650188,0.12973747376205763,107
usd_D12,-0.1297341092042863,0.18501652090955917,-0.05656027668116581,0.5646960117187934,0.1297341092042863,106
reg_housing_primary_L8,0.12923194077932104,0.1825359815525746,0.22070535933117738,0.02171421981301325,0.12923194077932104,108
mom_L12,0.12678414360344906,0.19529313851098087,0.166864457001468,0.08733748079885963,0.12678414360344906,106
prod_STD6,-0.12565723049745417,0.18478472332724016,-0.08328186498711346,0.38049758637289854,0.12565723049745417,113
reg_housing_primary_L10,0.12540037557992456,0.20025329976308853,0.2374230435039243,0.014262439564506905,0.12540037557992456,106
reg_retail_STD6,0.12538021307779798,0.185762539387133,0.09759145946508949,0.3037927924091206,0.12538021307779798,113
mom_MA12,0.12536463029789538,0.19822224056810345,0.20790621800955772,0.03164405099044248,0.12536463029789538,107
brent_pct_L4,-0.1247939283438548,0.18585923407041335,-0.19382259651233658,0.038801110746858346,0.1247939283438548,114
Ruonia,0.12435915050317943,0.17968666466556435,0.061986237260477174,0.5048892479757683,0.12435915050317943,118
Ruonia_L0,0.12435915050317943,0.17968666466556435,0.061986237260477174,0.5048892479757683,0.12435915050317943,118
mom_L9,0.12432743662164648,0.19772655156042532,0.15449051571274816,0.10871876233409901,0.12432743662164648,109
serv_MA3,-0.12428470996023343,0.18376519031128016,-0.13439153887749322,0.15034912702835707,0.12428470996023343,116
reg_retail_L11,-0.1238061363436437,0.20390199149073773,-0.25599751112871644,0.007780266939185072,0.1238061363436437,107
reg_ind_prod_D1,0.12286339107087933,0.18693249692884897,0.07381213809892828,0.4289977392131702,0.12286339107087933,117
reg_shipped_D6,-0.12270446592328996,0.1974361582662807,-0.049302137154707014,0.60569692729875,0.12270446592328996,112
reg_wage_L11,0.1224043720544044,0.2091094519222433,0.22371080229061857,0.020539627575046224,0.1224043720544044,107
reg_housing_secondary_L6,0.1219396689603227,0.2044246655518059,0.09669816600489024,0.31492053281943827,0.1219396689603227,110
prod_L9,0.12071676420143973,0.21116508120126912,0.16289836061864285,0.0905647972822787,0.12071676420143973,109
reg_payables_STD6,-0.12044300260175335,0.2038273453384515,-0.17946110628890127,0.05717660823222054,0.12044300260175335,113
prod_L3,-0.11888511653510171,0.2057041042079874,-0.11680135468158448,0.21381934788725515,0.11888511653510171,115
